handle,text,is_retweet,original_author,time,in_reply_to_screen_name,in_reply_to_status_id,is_quote_status,retweet_count,favorite_count,cleaned_text,x,y,favorite_count_log,scaled_retweet,theme,text_sentiment,text_sentiment_score,week_start
HillaryClinton,Our hearts go out to the people of Ecuador and the families who lost loved ones from yesterday's earthquake. -H,False,,2016-04-17 18:39:22,,,False,3154,6250,Our hearts go out to the people of Ecuador and the families who lost loved ones from yesterday's earthquake. -H,12.378951,-0.58722717,8.740496729931813,14.665174320150204,Engagement,negative,0.631039559841156,2016-04-11
realDonaldTrump,The people of Colorado had their vote taken away from them by the phony politicians. Biggest story in politics. This will not be allowed!,False,,2016-04-11 00:50:56,,,False,11270,26602,The people of Colorado had their vote taken away from them by the phony politicians. Biggest story in politics. This will not be allowed!,5.3602543,0.61829084,10.188779270365272,22.420294108249696,Endorsement,negative,0.9051170945167542,2016-04-11
HillaryClinton,"Thank you, New York. You put your faith in me 16 years ago and again tonight. I'll never stop fighting for you. -H https://t.co/Tqp8lCYhvq",False,,2016-04-20 01:41:02,,,False,6555,16835,"Thank you, New York. You put your faith in me 16 years ago and again tonight. I'll never stop fighting for you. -H ",7.863427,-1.8481843,9.731274729890462,18.71504598985224,Endorsement,positive,0.9744550585746764,2016-04-18
realDonaldTrump,"Ted Cruz is mathematically out of winning the race. Now all he can do is be a spoiler, never a nice thing to do. I will beat Hillary!",False,,2016-04-20 12:42:59,,,False,10163,27825,"Ted Cruz is mathematically out of winning the race. Now all he can do is be a spoiler, never a nice thing to do. I will beat Hillary!",9.300313,2.6360035,10.233726114401822,21.660774203022875,Opposition,negative,0.8932602405548096,2016-04-18
HillaryClinton,"Caught your speech, @realDonaldTrump. About that ""woman's card""...
https://t.co/kKaHWISchy",False,,2016-04-27 03:54:21,,,False,5261,9636,"Caught your speech, @realDonaldTrump. About that ""woman's card""...
",10.534366,-4.0083795,9.173365135851288,17.392263262344187,Appreciation,neutral,0.8133167028427124,2016-04-25
realDonaldTrump,"The ""protesters"" in California were thugs and criminals. Many are professionals. They should be dealt with strongly by law enforcement!",False,,2016-04-30 13:31:13,,,False,12670,35464,"The ""protesters"" in California were thugs and criminals. Many are professionals. They should be dealt with strongly by law enforcement!",13.788477,-0.06614576,10.476301573636189,23.312680137184493,Engagement,negative,0.8944034576416016,2016-04-25
HillaryClinton,I'm going to fight my heart out to make sure @realDonaldTrump’s toxic stew of hatred &amp; insecurity never reaches the White House.,True,elizabethforma,2016-05-04 16:38:30,,,False,24251,54521,I'm going to fight my heart out to make sure @realDonaldTrump’s toxic stew of hatred &amp; insecurity never reaches the White House.,6.2700253,0.04123943,10.906359568923405,28.945199721535424,Endorsement,negative,0.8956911563873291,2016-05-02
realDonaldTrump,Happy #CincoDeMayo! The best taco bowls are made in Trump Tower Grill. I love Hispanics! https://t.co/ufoTeQd8yA https://t.co/k01Mc6CuDI,False,,2016-05-05 18:57:30,,,False,82653,115107,Happy #CincoDeMayo! The best taco bowls are made in Trump Tower Grill. I love Hispanics!  ,1.0511541,4.5469484,11.653626097073085,43.55983310797406,Endorsement,positive,0.9903556108474731,2016-05-02
HillaryClinton,"When asked what gov should stop doing, @realDonaldTrump said overseeing banks! How can you be tough on Wall Street by letting them off?",True,elizabethforma,2016-05-11 21:52:59,,,False,4547,11465,"When asked what gov should stop doing, @realDonaldTrump said overseeing banks! How can you be tough on Wall Street by letting them off?",2.8026204,3.7964485,9.347141413468329,16.566915281856907,Engagement,negative,0.5878347158432007,2016-05-09
realDonaldTrump,Great new poll- thank you! https://t.co/ytzesbCZas,False,,2016-05-14 15:09:49,,,False,12924,32837,Great new poll- thank you! ,5.4270644,2.4577441,10.399341660371974,23.46743641299684,Endorsement,positive,0.9849489331245422,2016-05-09
