handle,text_sentiment,month,count
HillaryClinton,negative,2016-04,42
HillaryClinton,negative,2016-05,140
HillaryClinton,negative,2016-06,180
HillaryClinton,negative,2016-07,267
HillaryClinton,negative,2016-08,194
HillaryClinton,negative,2016-09,240
HillaryClinton,positive,2016-04,147
HillaryClinton,positive,2016-05,196
HillaryClinton,positive,2016-06,315
HillaryClinton,positive,2016-07,643
HillaryClinton,positive,2016-08,321
HillaryClinton,positive,2016-09,432
realDonaldTrump,negative,2016-01,157
realDonaldTrump,negative,2016-02,194
realDonaldTrump,negative,2016-03,186
realDonaldTrump,negative,2016-04,60
realDonaldTrump,negative,2016-05,133
realDonaldTrump,negative,2016-06,122
realDonaldTrump,negative,2016-07,191
realDonaldTrump,negative,2016-08,101
realDonaldTrump,negative,2016-09,80
realDonaldTrump,positive,2016-01,270
realDonaldTrump,positive,2016-02,285
realDonaldTrump,positive,2016-03,245
realDonaldTrump,positive,2016-04,212
realDonaldTrump,positive,2016-05,211
realDonaldTrump,positive,2016-06,177
realDonaldTrump,positive,2016-07,153
realDonaldTrump,positive,2016-08,172
realDonaldTrump,positive,2016-09,182
