handle,theme,month,count
HillaryClinton,Appreciation,2016-04,13
HillaryClinton,Appreciation,2016-05,19
HillaryClinton,Appreciation,2016-06,5
HillaryClinton,Appreciation,2016-07,27
HillaryClinton,Appreciation,2016-08,17
HillaryClinton,Appreciation,2016-09,29
HillaryClinton,Economy,2016-05,4
HillaryClinton,Economy,2016-08,7
HillaryClinton,Economy,2016-09,12
HillaryClinton,Endorsement,2016-04,66
HillaryClinton,Endorsement,2016-05,145
HillaryClinton,Endorsement,2016-06,224
HillaryClinton,Endorsement,2016-07,529
HillaryClinton,Endorsement,2016-08,253
HillaryClinton,Endorsement,2016-09,289
HillaryClinton,Engagement,2016-04,78
HillaryClinton,Engagement,2016-05,71
HillaryClinton,Engagement,2016-06,113
HillaryClinton,Engagement,2016-07,118
HillaryClinton,Engagement,2016-08,105
HillaryClinton,Engagement,2016-09,109
HillaryClinton,Opposition,2016-04,19
HillaryClinton,Opposition,2016-05,45
HillaryClinton,Opposition,2016-06,95
HillaryClinton,Opposition,2016-07,166
HillaryClinton,Opposition,2016-08,66
HillaryClinton,Opposition,2016-09,95
HillaryClinton,Security,2016-04,5
HillaryClinton,Security,2016-05,22
HillaryClinton,Security,2016-06,33
HillaryClinton,Security,2016-07,42
HillaryClinton,Security,2016-08,55
HillaryClinton,Security,2016-09,119
HillaryClinton,Social,2016-04,8
HillaryClinton,Social,2016-05,30
HillaryClinton,Social,2016-06,25
HillaryClinton,Social,2016-07,28
HillaryClinton,Social,2016-08,12
HillaryClinton,Social,2016-09,19
realDonaldTrump,Appreciation,2016-01,54
realDonaldTrump,Appreciation,2016-02,127
realDonaldTrump,Appreciation,2016-03,133
realDonaldTrump,Appreciation,2016-04,38
realDonaldTrump,Appreciation,2016-05,11
realDonaldTrump,Appreciation,2016-06,12
realDonaldTrump,Appreciation,2016-07,8
realDonaldTrump,Appreciation,2016-08,8
realDonaldTrump,Appreciation,2016-09,12
realDonaldTrump,Economy,2016-03,6
realDonaldTrump,Economy,2016-05,4
realDonaldTrump,Economy,2016-08,5
realDonaldTrump,Economy,2016-09,4
realDonaldTrump,Endorsement,2016-01,57
realDonaldTrump,Endorsement,2016-02,131
realDonaldTrump,Endorsement,2016-03,85
realDonaldTrump,Endorsement,2016-04,97
realDonaldTrump,Endorsement,2016-05,165
realDonaldTrump,Endorsement,2016-06,136
realDonaldTrump,Endorsement,2016-07,203
realDonaldTrump,Endorsement,2016-08,119
realDonaldTrump,Endorsement,2016-09,117
realDonaldTrump,Engagement,2016-01,280
realDonaldTrump,Engagement,2016-02,186
realDonaldTrump,Engagement,2016-03,178
realDonaldTrump,Engagement,2016-04,98
realDonaldTrump,Engagement,2016-05,89
realDonaldTrump,Engagement,2016-06,57
realDonaldTrump,Engagement,2016-07,53
realDonaldTrump,Engagement,2016-08,64
realDonaldTrump,Engagement,2016-09,50
realDonaldTrump,Opposition,2016-01,32
realDonaldTrump,Opposition,2016-02,26
realDonaldTrump,Opposition,2016-03,25
realDonaldTrump,Opposition,2016-04,30
realDonaldTrump,Opposition,2016-05,36
realDonaldTrump,Opposition,2016-06,62
realDonaldTrump,Opposition,2016-07,60
realDonaldTrump,Opposition,2016-08,45
realDonaldTrump,Opposition,2016-09,29
realDonaldTrump,Security,2016-01,4
realDonaldTrump,Security,2016-02,8
realDonaldTrump,Security,2016-03,4
realDonaldTrump,Security,2016-04,7
realDonaldTrump,Security,2016-05,14
realDonaldTrump,Security,2016-06,15
realDonaldTrump,Security,2016-07,9
realDonaldTrump,Security,2016-08,22
realDonaldTrump,Security,2016-09,43
realDonaldTrump,Social,2016-02,1
realDonaldTrump,Social,2016-04,2
realDonaldTrump,Social,2016-05,25
realDonaldTrump,Social,2016-06,17
realDonaldTrump,Social,2016-07,11
realDonaldTrump,Social,2016-08,10
realDonaldTrump,Social,2016-09,7
