theme,handle,text_sentiment,total_engagement
Appreciation,HillaryClinton,negative,127696
Appreciation,HillaryClinton,positive,49031
Appreciation,realDonaldTrump,negative,778064
Appreciation,realDonaldTrump,positive,828279
Economy,HillaryClinton,negative,41061
Economy,HillaryClinton,positive,14578
Economy,realDonaldTrump,negative,34132
Economy,realDonaldTrump,positive,38736
Endorsement,HillaryClinton,negative,1658307
Endorsement,HillaryClinton,positive,1235256
Endorsement,realDonaldTrump,negative,3973995
Endorsement,realDonaldTrump,positive,2653918
Engagement,HillaryClinton,negative,1044345
Engagement,HillaryClinton,positive,510525
Engagement,realDonaldTrump,negative,2088611
Engagement,realDonaldTrump,positive,2040332
Opposition,HillaryClinton,negative,495321
Opposition,HillaryClinton,positive,359896
Opposition,realDonaldTrump,negative,1236031
Opposition,realDonaldTrump,positive,803060
Security,HillaryClinton,negative,443385
Security,HillaryClinton,positive,333385
Security,realDonaldTrump,negative,517459
Security,realDonaldTrump,positive,318737
Social,HillaryClinton,negative,107672
Social,HillaryClinton,positive,112787
Social,realDonaldTrump,negative,294090
Social,realDonaldTrump,positive,152708
