handle,text,is_retweet,original_author,time,in_reply_to_screen_name,in_reply_to_status_id,is_quote_status,retweet_count,favorite_count,cleaned_text,x,y,theme
HillaryClinton,The question in this election: Who can put the plans into action that will make your life better? https://t.co/XreEY9OicG,False,,2016-09-28 00:22:34,,,False,218,651,The question in this election: Who can put the plans into action that will make your life better? ,3.5125697,0.24142534,Endorsement
HillaryClinton,"Last night, Donald Trump said not paying taxes was ""smart."" You know what I call it? Unpatriotic. https://t.co/t0xmBfj7zF",True,timkaine,2016-09-27 23:45:00,,,False,2445,5308,"Last night, Donald Trump said not paying taxes was ""smart."" You know what I call it? Unpatriotic. ",1.843018,-2.1588411,Economy
HillaryClinton,Couldn't be more proud of @HillaryClinton. Her vision and command during last night's debate showed that she's ready to be our next @POTUS.,True,POTUS,2016-09-27 23:26:40,,,False,7834,27234,Couldn't be more proud of @HillaryClinton. Her vision and command during last night's debate showed that she's ready to be our next @POTUS.,6.451585,1.6017991,Endorsement
HillaryClinton,"If we stand together, there's nothing we can't do. 

Make sure you're ready to vote: https://t.co/tTgeqxNqYm https://t.co/Q3Ymbb7UNy",False,,2016-09-27 23:08:41,,,False,916,2542,"If we stand together, there's nothing we can't do. 

Make sure you're ready to vote:  ",4.3690543,1.3266205,Endorsement
HillaryClinton,Both candidates were asked about how they'd confront racial injustice. Only one had a real answer. https://t.co/sjnEokckis,False,,2016-09-27 22:30:27,,,False,859,2882,Both candidates were asked about how they'd confront racial injustice. Only one had a real answer. ,5.257584,4.41056,Opposition
realDonaldTrump,"Join me for a 3pm rally - tomorrow at the Mid-America Center in Council Bluffs, Iowa! Tickets:… https://t.co/dfzsbICiXc",False,,2016-09-27 22:13:24,,,False,2181,6172,"Join me for a 3pm rally - tomorrow at the Mid-America Center in Council Bluffs, Iowa! Tickets:… ",12.373025,1.3006189,Engagement
HillaryClinton,This election is too important to sit out. Go to https://t.co/tTgeqxNqYm and make sure you're registered. #NationalVoterRegistrationDay -H,False,,2016-09-27 21:35:28,,,False,1303,2849,This election is too important to sit out. Go to  and make sure you're registered. #NationalVoterRegistrationDay -H,10.40512,-0.24806722,Appreciation
HillaryClinton,When Donald Trump goes low...register to vote: https://t.co/tTgeqxNqYm https://t.co/DXz9dEwsZS,False,,2016-09-27 21:25:31,,,False,1833,4954,When Donald Trump goes low...register to vote:  ,10.325193,-0.32226014,Appreciation
realDonaldTrump,"Once again, we will have a government of, by and for the people. Join the MOVEMENT today! https://t.co/lWjYDbPHav https://t.co/uYwJrtZkAe",False,,2016-09-27 21:08:22,,,False,4132,11239,"Once again, we will have a government of, by and for the people. Join the MOVEMENT today!  ",11.910374,-0.46194577,Engagement
HillaryClinton,3) Has Trump offered a single proposal to reduce the friction of starting a business. @HillaryClinton has https://t.co/OhFAFEFsUq,True,mcuban,2016-09-27 21:00:13,,,False,1087,2824,3) Has Trump offered a single proposal to reduce the friction of starting a business. @HillaryClinton has ,2.0030866,0.01467212,Endorsement
HillaryClinton,"The election is just weeks away. Check if you're registered to vote at https://t.co/HcMAh8ljR0, only takes a few cl… https://t.co/H1H7hAA4XM",True,ddlovato,2016-09-27 20:37:47,,,False,3347,7698,The election is just weeks away. Check if you're registered to vote at  only takes a few cl… ,10.444165,-0.34752452,Appreciation
realDonaldTrump,"On National #VoterRegistrationDay, make sure you're registered to vote so we can #MakeAmericaGreatAgain… https://t.co/0wib6UEZON",True,GOP,2016-09-27 20:31:14,,,False,2953,6963,"On National #VoterRegistrationDay, make sure you're registered to vote so we can #MakeAmericaGreatAgain… ",10.632785,-0.307639,Appreciation
realDonaldTrump,"Hillary Clinton's Campaign Continues To Make False Claims About Foundation Disclosure: 
https://t.co/zhkEfUouHH",False,,2016-09-27 20:14:33,,,False,3833,9840,"Hillary Clinton's Campaign Continues To Make False Claims About Foundation Disclosure: 
",4.6720204,-4.1596737,Endorsement
realDonaldTrump,"'CNBC, Time magazine online polls say Donald Trump won the first presidential debate' via @WashTimes. #MAGA
https://t.co/PGimqYKPoJ",False,,2016-09-27 20:06:25,,,False,4236,10948,"'CNBC, Time magazine online polls say Donald Trump won the first presidential debate' via @WashTimes. #MAGA
",6.6691885,-1.629583,Security
HillaryClinton,Donald Trump lied to the American people at least 58 times during the first presidential debate. (We counted.) https://t.co/h43O6Rws4S,False,,2016-09-27 19:59:28,,,False,5379,8917,Donald Trump lied to the American people at least 58 times during the first presidential debate. (We counted.) ,5.2376456,-0.84514743,Security
realDonaldTrump,Great afternoon in Little Havana with Hispanic community leaders. Thank you for your support! #ImWithYou https://t.co/vxWZ2tyJTF,False,,2016-09-27 19:59:04,,,False,4878,14110,Great afternoon in Little Havana with Hispanic community leaders. Thank you for your support! #ImWithYou ,12.294178,-0.17121755,Engagement
realDonaldTrump,"In the last 24 hrs. we have raised over $13M from online donations and National Call Day, and we’re still going! Thank you America! #MAGA",False,,2016-09-27 19:37:22,,,False,6939,23330,"In the last 24 hrs. we have raised over $13M from online donations and National Call Day, and we’re still going! Thank you America! #MAGA",11.84799,-0.0793064,Engagement
HillaryClinton,"“She gained about 55 pounds in...9 months. She was like an eating machine.” —Trump, a man who wants to be president: https://t.co/1ht91eZCyw",False,,2016-09-27 19:31:01,,,False,2058,3714,"“She gained about 55 pounds in...9 months. She was like an eating machine.” —Trump, a man who wants to be president: ",5.9942555,-1.3410002,Security
HillaryClinton,It's #NationalVoterRegistrationDay. Celebrate by registering to vote → https://t.co/tTgeqxNqYm https://t.co/R6lVvgLECG,False,,2016-09-27 18:45:39,,,False,1792,3500,It's #NationalVoterRegistrationDay. Celebrate by registering to vote →  ,10.537066,-0.31376326,Appreciation
HillaryClinton,"""I love this country.
I’m proud of this country.
I want to be a leader who brings people together.""
—Hillary #LoveTrumpsHate",False,,2016-09-27 18:12:06,HillaryClinton,7.808319012044841e+17,False,1437,5053,"""I love this country.
I’m proud of this country.
I want to be a leader who brings people together.""
—Hillary #LoveTrumpsHate",6.6072173,0.51503414,Endorsement
HillaryClinton,"We don’t want to turn against each other.
We want to work with one another.
We want to set big goals in this country.
#StrongerTogether",False,,2016-09-27 18:10:07,HillaryClinton,7.808309842625167e+17,False,976,3313,"We don’t want to turn against each other.
We want to work with one another.
We want to set big goals in this country.
#StrongerTogether",4.368845,1.2005537,Endorsement
HillaryClinton,"""What we hear from my opponent is dangerously incoherent. It's unclear what he's saying, but words matter."" —Hillary",False,,2016-09-27 18:06:28,HillaryClinton,7.80830087457407e+17,False,957,2968,"""What we hear from my opponent is dangerously incoherent. It's unclear what he's saying, but words matter."" —Hillary",5.659912,0.51893926,Endorsement
HillaryClinton,One candidate made it clear he wasn’t prepared for last night’s debate. The other made it clear she’s prepared to b… https://t.co/InYZBmnbBM,False,,2016-09-27 18:05:27,,,False,3336,9961,One candidate made it clear he wasn’t prepared for last night’s debate. The other made it clear she’s prepared to b… ,6.332055,-1.4980451,Security
HillaryClinton,"""What kind of a person would want to root for 9 million families losing their homes?

One who should never be president."" —Hillary on Trump",False,,2016-09-27 18:02:54,HillaryClinton,7.808289169195049e+17,False,1127,3216,"""What kind of a person would want to root for 9 million families losing their homes?

One who should never be president."" —Hillary on Trump",4.596364,2.13252,Endorsement
HillaryClinton,"""I don’t think that any family should have to pay more than 10% of their income on child care.” —Hillary https://t.co/pepW0auI8n",False,,2016-09-27 17:58:15,HillaryClinton,7.808282060395028e+17,False,586,1681,"""I don’t think that any family should have to pay more than 10% of their income on child care.” —Hillary ",3.5328593,2.9509103,Social
HillaryClinton,"""I’m really glad my dad never had a contract with Donald Trump.” —Hillary https://t.co/un2YiRLEYF",False,,2016-09-27 17:55:26,HillaryClinton,7.808275416700764e+17,False,1580,2967,"""I’m really glad my dad never had a contract with Donald Trump.” —Hillary ",4.568541,0.6080332,Endorsement
HillaryClinton,"When you work hard, you should not be living in poverty. https://t.co/86sTOCAkkq",False,,2016-09-27 17:52:47,HillaryClinton,7.808253606110863e+17,False,557,1633,"When you work hard, you should not be living in poverty. ",2.8239844,2.0091677,Endorsement
realDonaldTrump,"Well, now they're saying that I not only won the NBC Presidential Forum, but last night the big debate. Nice!",False,,2016-09-27 17:47:36,,,False,8534,28578,"Well, now they're saying that I not only won the NBC Presidential Forum, but last night the big debate. Nice!",10.961382,-2.07316,Appreciation
HillaryClinton,"""We may have a record-setting turnout in this election.

We could have the biggest turnout we've ever had."" https://t.co/tTgeqxNqYm",False,,2016-09-27 17:44:07,HillaryClinton,7.808243463108772e+17,False,556,1546,"""We may have a record-setting turnout in this election.

We could have the biggest turnout we've ever had."" ",5.3468904,0.83388674,Endorsement
HillaryClinton,"""You can go to https://t.co/tTgeqxNqYm to make sure you are registered. And I hope you all will.” —Hillary #NationalVoterRegistrationDay",False,,2016-09-27 17:40:05,HillaryClinton,7.80823097498796e+17,False,661,1326,"""You can go to  to make sure you are registered. And I hope you all will.” —Hillary #NationalVoterRegistrationDay",10.342115,-0.3404107,Appreciation
HillaryClinton,Join Hillary live in NC for her first rally since winning last night's debate → https://t.co/DzEpIDf7HY #NationalVoterRegistrationDay,False,,2016-09-27 17:35:08,,,False,1115,3941,Join Hillary live in NC for her first rally since winning last night's debate →  #NationalVoterRegistrationDay,7.7996855,1.5961424,Endorsement
HillaryClinton,So. Everything you're feeling after #Debates2016? It's #NationalVoterRegistrationDay. PLEASE:… https://t.co/YnOtJL8bW7,True,shondarhimes,2016-09-27 17:20:13,,,False,1328,2435,So. Everything you're feeling after #Debates2016? It's #NationalVoterRegistrationDay. PLEASE:… ,11.211583,-0.33423567,Appreciation
HillaryClinton,"“Donald just criticized me for preparing for this debate. And you know what else I prepared for?

I prepared to be… https://t.co/QjB01msPaT",False,,2016-09-27 17:07:22,,,False,6185,16805,"“Donald just criticized me for preparing for this debate. And you know what else I prepared for?

I prepared to be… ",6.3067684,-1.4253781,Security
realDonaldTrump,"Thank you for your endorsement, @GovernorSununu. #MAGA 
https://t.co/8BEeQPsuyd",False,,2016-09-27 16:58:58,,,False,4191,13152,"Thank you for your endorsement, @GovernorSununu. #MAGA 
",11.693559,0.031605747,Engagement
HillaryClinton,Hillary was the winner of the first presidential debate—and newspapers across America agree. #SheWon… https://t.co/oDiUHd0eXO,False,,2016-09-27 16:54:22,,,False,2593,6269,Hillary was the winner of the first presidential debate—and newspapers across America agree. #SheWon… ,6.3842096,-1.5330362,Security
HillaryClinton,Register and vote for Democrats like @HillaryClinton and @KatieMcGintyPA: https://t.co/tu6W6eS9xR #iRegistered… https://t.co/9ovdecqadN,True,JoeBiden,2016-09-27 16:29:30,,,False,1235,3206,Register and vote for Democrats like @HillaryClinton and @KatieMcGintyPA:  #iRegistered… ,4.299235,0.99149597,Endorsement
HillaryClinton,I've been fortunate to meet young Americans from all over the country. We all make choices. This is mine...… https://t.co/bYoUE91TOO,True,AndrewJenks,2016-09-27 16:24:03,,,False,804,2086,I've been fortunate to meet young Americans from all over the country. We all make choices. This is mine...… ,6.046829,-1.3665998,Security
HillaryClinton,"""She gained a massive amount of weight...it was a real problem."" —Trump this morning on Alicia Machado https://t.co/LJPlFegSTs",False,,2016-09-27 16:12:28,,,False,4829,7580,"""She gained a massive amount of weight...it was a real problem."" —Trump this morning on Alicia Machado ",10.5116005,-0.3133207,Appreciation
HillaryClinton,"Today is #NationalVoterRegistrationDay - I was beaten, left bloody &amp; unconscious so that every person could register and vote. Do your part.",True,repjohnlewis,2016-09-27 16:03:49,,,False,20006,24333,"Today is #NationalVoterRegistrationDay - I was beaten, left bloody &amp; unconscious so that every person could register and vote. Do your part.",10.345165,-0.33776662,Appreciation
HillaryClinton,More than 70 million Americans aren't registered to vote. We have to do better! Get registered &amp; spread the word: https://t.co/IobF5PQ7jv,True,jasoncollins98,2016-09-27 16:01:04,,,False,1138,1554,More than 70 million Americans aren't registered to vote. We have to do better! Get registered &amp; spread the word: ,8.611379,1.3249685,Opposition
HillaryClinton,"When you have a really, really good night. #SheWon https://t.co/FVeGqhYxRZ",False,,2016-09-27 15:54:07,,,False,8242,35744,"When you have a really, really good night. #SheWon ",11.51445,-0.4693203,Engagement
realDonaldTrump,"Such a great honor. Final debate polls are in - and the MOVEMENT wins!
#AmericaFirst #MAGA #ImWithYou… https://t.co/DV1BKMwHEM",False,,2016-09-27 15:47:29,,,False,13576,27245,"Such a great honor. Final debate polls are in - and the MOVEMENT wins!
#AmericaFirst #MAGA #ImWithYou… ",10.406703,-0.33339983,Appreciation
HillaryClinton,"""Register. Vote. Go out and get engaged!” —@JoeBiden #NationalVoterRegistrationDay https://t.co/tTgeqxNqYm",False,,2016-09-27 15:42:48,,,False,1350,2874,"""Register. Vote. Go out and get engaged!” —@JoeBiden #NationalVoterRegistrationDay ",5.6460013,-2.892452,Endorsement
HillaryClinton,"""I'm glad Trump found out that Crimea was part of Ukraine. By the way, I heard he was on the verge of acknowledging gravity."" —@JoeBiden",False,,2016-09-27 15:32:57,,,False,5557,16289,"""I'm glad Trump found out that Crimea was part of Ukraine. By the way, I heard he was on the verge of acknowledging gravity."" —@JoeBiden",4.7962117,0.3664681,Endorsement
HillaryClinton,"“Let me tell you who built this damn country: the middle class.” —@JoeBiden

Let's keep building it, together: https://t.co/tTgeqxNqYm",False,,2016-09-27 15:26:17,,,False,1453,4741,"“Let me tell you who built this damn country: the middle class.” —@JoeBiden

Let's keep building it, together: ",6.415045,1.471575,Endorsement
HillaryClinton,One moment last night that proved—again—that Hillary's the only candidate ready to lead on the global stage: https://t.co/i4lrw7BpE9 #SheWon,False,,2016-09-27 15:12:56,,,False,1452,4840,One moment last night that proved—again—that Hillary's the only candidate ready to lead on the global stage:  #SheWon,5.9426374,4.632615,Opposition
realDonaldTrump,'U.S. Murders Increased 10.8% in 2015' via @WSJ: https://t.co/CIJMQJhLqp,False,,2016-09-27 14:55:57,,,False,5365,10729,'U.S. Murders Increased 10.8% in 2015' via @WSJ: ,6.301247,-1.5089428,Security
HillaryClinton,"""Anyone who complains about microphone problems is not having a good night."" —Hillary #SheWon",False,,2016-09-27 14:53:01,,,False,4773,14979,"""Anyone who complains about microphone problems is not having a good night."" —Hillary #SheWon",11.789789,-0.11938759,Engagement
realDonaldTrump,"Thank you! #TrumpWon #MAGA 
https://t.co/a5rr1i38km",False,,2016-09-27 14:51:25,,,False,7255,17380,"Thank you! #TrumpWon #MAGA 
",4.1755295,-3.8038967,Endorsement
realDonaldTrump,Hillary's been failing for 30 years in not getting the job done - it will never change.,False,,2016-09-27 14:49:09,,,False,12127,31856,Hillary's been failing for 30 years in not getting the job done - it will never change.,6.0574822,-1.3917199,Security
HillaryClinton,"Trump on Alicia, 1996: ""Miss Piggy.""

This morning: ""She gained a massive amount of weight...it was a real problem."" https://t.co/0wrISjJe6z",False,,2016-09-27 13:57:55,,,False,16476,22611,"Trump on Alicia, 1996: ""Miss Piggy.""

This morning: ""She gained a massive amount of weight...it was a real problem."" ",5.6786375,0.2902449,Endorsement
