handle,theme,retweet_count,favorite_count,tweets_count
HillaryClinton,Appreciation,299946,609496,110
HillaryClinton,Economy,72410,157688,23
HillaryClinton,Endorsement,4357387,10186760,1506
HillaryClinton,Engagement,2038185,4330932,594
HillaryClinton,Opposition,1262782,2870287,486
HillaryClinton,Security,1080714,2354300,276
HillaryClinton,Social,325659,728942,122
realDonaldTrump,Appreciation,1840849,5203859,403
realDonaldTrump,Economy,84417,261878,19
realDonaldTrump,Endorsement,7602393,21711411,1110
realDonaldTrump,Engagement,4852347,14057763,1055
realDonaldTrump,Opposition,2305057,6774365,345
realDonaldTrump,Security,958664,2673178,126
realDonaldTrump,Social,524447,1521899,73
