handle,text,is_retweet,original_author,time,in_reply_to_screen_name,in_reply_to_status_id,is_quote_status,retweet_count,favorite_count,cleaned_text,x,y,favorite_count_log,scaled_retweet,theme,text_sentiment,text_sentiment_score
HillaryClinton,The question in this election: Who can put the plans into action that will make your life better? https://t.co/XreEY9OicG,False,,2016-09-28 00:22:34,,,False,218,651,The question in this election: Who can put the plans into action that will make your life better? ,3.5125697,0.24142534,6.480044561926653,6.018461654806453,Endorsement,neutral,0.6593348383903503
HillaryClinton,"Last night, Donald Trump said not paying taxes was ""smart."" You know what I call it? Unpatriotic. https://t.co/t0xmBfj7zF",True,timkaine,2016-09-27 23:45:00,,,False,2445,5308,"Last night, Donald Trump said not paying taxes was ""smart."" You know what I call it? Unpatriotic. ",1.843018,-2.1588411,8.57715877258367,13.471820506595362,Economy,negative,0.6219103336334229
HillaryClinton,Couldn't be more proud of @HillaryClinton. Her vision and command during last night's debate showed that she's ready to be our next @POTUS.,True,POTUS,2016-09-27 23:26:40,,,False,7834,27234,Couldn't be more proud of @HillaryClinton. Her vision and command during last night's debate showed that she's ready to be our next @POTUS.,6.451585,1.6017991,10.212258189817774,19.86069867632995,Endorsement,positive,0.9817626476287842
HillaryClinton,"If we stand together, there's nothing we can't do. 

Make sure you're ready to vote: https://t.co/tTgeqxNqYm https://t.co/Q3Ymbb7UNy",False,,2016-09-27 23:08:41,,,False,916,2542,"If we stand together, there's nothing we can't do. 

Make sure you're ready to vote:  ",4.3690543,1.3266205,7.841099765422119,9.711772294219713,Endorsement,positive,0.7151362299919128
HillaryClinton,Both candidates were asked about how they'd confront racial injustice. Only one had a real answer. https://t.co/sjnEokckis,False,,2016-09-27 22:30:27,,,False,859,2882,Both candidates were asked about how they'd confront racial injustice. Only one had a real answer. ,5.257584,4.41056,7.9665866976384025,9.50599805890289,Opposition,negative,0.5108509659767151
realDonaldTrump,"Join me for a 3pm rally - tomorrow at the Mid-America Center in Council Bluffs, Iowa! Tickets:… https://t.co/dfzsbICiXc",False,,2016-09-27 22:13:24,,,False,2181,6172,"Join me for a 3pm rally - tomorrow at the Mid-America Center in Council Bluffs, Iowa! Tickets:… ",12.373025,1.3006189,8.727940222393896,12.96836489396917,Engagement,neutral,0.695968747138977
HillaryClinton,This election is too important to sit out. Go to https://t.co/tTgeqxNqYm and make sure you're registered. #NationalVoterRegistrationDay -H,False,,2016-09-27 21:35:28,,,False,1303,2849,This election is too important to sit out. Go to  and make sure you're registered. #NationalVoterRegistrationDay -H,10.40512,-0.24806722,7.955074273262696,10.922317710801408,Appreciation,positive,0.5641106367111206
HillaryClinton,When Donald Trump goes low...register to vote: https://t.co/tTgeqxNqYm https://t.co/DXz9dEwsZS,False,,2016-09-27 21:25:31,,,False,1833,4954,When Donald Trump goes low...register to vote:  ,10.325193,-0.32226014,8.508152446764088,12.2382922988143,Appreciation,negative,0.5535146594047546
realDonaldTrump,"Once again, we will have a government of, by and for the people. Join the MOVEMENT today! https://t.co/lWjYDbPHav https://t.co/uYwJrtZkAe",False,,2016-09-27 21:08:22,,,False,4132,11239,"Once again, we will have a government of, by and for the people. Join the MOVEMENT today!  ",11.910374,-0.46194577,9.327234123447681,16.046738337546827,Engagement,positive,0.9001908898353577
HillaryClinton,3) Has Trump offered a single proposal to reduce the friction of starting a business. @HillaryClinton has https://t.co/OhFAFEFsUq,True,mcuban,2016-09-27 21:00:13,,,False,1087,2824,3) Has Trump offered a single proposal to reduce the friction of starting a business. @HillaryClinton has ,2.0030866,0.01467212,7.946263643580541,10.281974316354447,Endorsement,neutral,0.8560318350791931
HillaryClinton,"The election is just weeks away. Check if you're registered to vote at https://t.co/HcMAh8ljR0, only takes a few cl… https://t.co/H1H7hAA4XM",True,ddlovato,2016-09-27 20:37:47,,,False,3347,7698,The election is just weeks away. Check if you're registered to vote at  only takes a few cl… ,10.444165,-0.34752452,8.94884572927805,14.95840327263194,Appreciation,neutral,0.8242892622947693
realDonaldTrump,"On National #VoterRegistrationDay, make sure you're registered to vote so we can #MakeAmericaGreatAgain… https://t.co/0wib6UEZON",True,GOP,2016-09-27 20:31:14,,,False,2953,6963,"On National #VoterRegistrationDay, make sure you're registered to vote so we can #MakeAmericaGreatAgain… ",10.632785,-0.307639,8.848509300888079,14.346781441356557,Appreciation,positive,0.8391823172569275
realDonaldTrump,"Hillary Clinton's Campaign Continues To Make False Claims About Foundation Disclosure: 
https://t.co/zhkEfUouHH",False,,2016-09-27 20:14:33,,,False,3833,9840,"Hillary Clinton's Campaign Continues To Make False Claims About Foundation Disclosure: 
",4.6720204,-4.1596737,9.194312610898985,15.649949473650018,Endorsement,negative,0.6136417388916016
realDonaldTrump,"'CNBC, Time magazine online polls say Donald Trump won the first presidential debate' via @WashTimes. #MAGA
https://t.co/PGimqYKPoJ",False,,2016-09-27 20:06:25,,,False,4236,10948,"'CNBC, Time magazine online polls say Donald Trump won the first presidential debate' via @WashTimes. #MAGA
",6.6691885,-1.629583,9.301003406873425,16.180253336721147,Security,positive,0.5189892649650574
HillaryClinton,Donald Trump lied to the American people at least 58 times during the first presidential debate. (We counted.) https://t.co/h43O6Rws4S,False,,2016-09-27 19:59:28,,,False,5379,8917,Donald Trump lied to the American people at least 58 times during the first presidential debate. (We counted.) ,5.2376456,-0.84514743,9.095826985187422,17.521334524395048,Security,negative,0.8418638110160828
realDonaldTrump,Great afternoon in Little Havana with Hispanic community leaders. Thank you for your support! #ImWithYou https://t.co/vxWZ2tyJTF,False,,2016-09-27 19:59:04,,,False,4878,14110,Great afternoon in Little Havana with Hispanic community leaders. Thank you for your support! #ImWithYou ,12.294178,-0.17121755,9.55470991405776,16.95953466742737,Engagement,positive,0.9873877167701721
realDonaldTrump,"In the last 24 hrs. we have raised over $13M from online donations and National Call Day, and we’re still going! Thank you America! #MAGA",False,,2016-09-27 19:37:22,,,False,6939,23330,"In the last 24 hrs. we have raised over $13M from online donations and National Call Day, and we’re still going! Thank you America! #MAGA",11.84799,-0.0793064,10.057538227363054,19.073583539202602,Engagement,positive,0.9774116277694702
HillaryClinton,"“She gained about 55 pounds in...9 months. She was like an eating machine.” —Trump, a man who wants to be president: https://t.co/1ht91eZCyw",False,,2016-09-27 19:31:01,,,False,2058,3714,"“She gained about 55 pounds in...9 months. She was like an eating machine.” —Trump, a man who wants to be president: ",5.9942555,-1.3410002,8.220133957151859,12.719844149824977,Security,negative,0.6025060415267944
HillaryClinton,It's #NationalVoterRegistrationDay. Celebrate by registering to vote → https://t.co/tTgeqxNqYm https://t.co/R6lVvgLECG,False,,2016-09-27 18:45:39,,,False,1792,3500,It's #NationalVoterRegistrationDay. Celebrate by registering to vote →  ,10.537066,-0.31376326,8.160803920954665,12.14635588750265,Appreciation,positive,0.9508504271507263
HillaryClinton,"""I love this country.
I’m proud of this country.
I want to be a leader who brings people together.""
—Hillary #LoveTrumpsHate",False,,2016-09-27 18:12:06,HillaryClinton,7.808319012044841e+17,False,1437,5053,"""I love this country.
I’m proud of this country.
I want to be a leader who brings people together.""
—Hillary #LoveTrumpsHate",6.6072173,0.51503414,8.52793528794814,11.28458492754286,Endorsement,positive,0.9707621335983276
HillaryClinton,"We don’t want to turn against each other.
We want to work with one another.
We want to set big goals in this country.
#StrongerTogether",False,,2016-09-27 18:10:07,HillaryClinton,7.808309842625167e+17,False,976,3313,"We don’t want to turn against each other.
We want to work with one another.
We want to set big goals in this country.
#StrongerTogether",4.368845,1.2005537,8.105911197986508,9.919351327684602,Endorsement,positive,0.6990681886672974
HillaryClinton,"""What we hear from my opponent is dangerously incoherent. It's unclear what he's saying, but words matter."" —Hillary",False,,2016-09-27 18:06:28,HillaryClinton,7.80830087457407e+17,False,957,2968,"""What we hear from my opponent is dangerously incoherent. It's unclear what he's saying, but words matter."" —Hillary",5.659912,0.51893926,7.99598047476376,9.854561691011158,Endorsement,negative,0.8361466526985168
HillaryClinton,One candidate made it clear he wasn’t prepared for last night’s debate. The other made it clear she’s prepared to b… https://t.co/InYZBmnbBM,False,,2016-09-27 18:05:27,,,False,3336,9961,One candidate made it clear he wasn’t prepared for last night’s debate. The other made it clear she’s prepared to b… ,6.332055,-1.4980451,9.20653313363323,14.941998230956004,Security,neutral,0.5093849897384644
HillaryClinton,"""What kind of a person would want to root for 9 million families losing their homes?

One who should never be president."" —Hillary on Trump",False,,2016-09-27 18:02:54,HillaryClinton,7.808289169195049e+17,False,1127,3216,"""What kind of a person would want to root for 9 million families losing their homes?

One who should never be president."" —Hillary on Trump",4.596364,2.13252,8.076204527239026,10.406578677916617,Endorsement,negative,0.8479737043380737
HillaryClinton,"""I don’t think that any family should have to pay more than 10% of their income on child care.” —Hillary https://t.co/pepW0auI8n",False,,2016-09-27 17:58:15,HillaryClinton,7.808282060395028e+17,False,586,1681,"""I don’t think that any family should have to pay more than 10% of their income on child care.” —Hillary ",3.5328593,2.9509103,7.427738840532894,8.368209391204644,Social,negative,0.5725524425506592
HillaryClinton,"""I’m really glad my dad never had a contract with Donald Trump.” —Hillary https://t.co/un2YiRLEYF",False,,2016-09-27 17:55:26,HillaryClinton,7.808275416700764e+17,False,1580,2967,"""I’m really glad my dad never had a contract with Donald Trump.” —Hillary ",4.568541,0.6080332,7.995643604287271,11.647132845117548,Endorsement,neutral,0.4254688322544098
HillaryClinton,"When you work hard, you should not be living in poverty. https://t.co/86sTOCAkkq",False,,2016-09-27 17:52:47,HillaryClinton,7.808253606110863e+17,False,557,1633,"When you work hard, you should not be living in poverty. ",2.8239844,2.0091677,7.3987862754199485,8.227825361333302,Endorsement,positive,0.5784385800361633
realDonaldTrump,"Well, now they're saying that I not only won the NBC Presidential Forum, but last night the big debate. Nice!",False,,2016-09-27 17:47:36,,,False,8534,28578,"Well, now they're saying that I not only won the NBC Presidential Forum, but last night the big debate. Nice!",10.961382,-2.07316,10.260427461368563,20.435450342631754,Appreciation,positive,0.9603682160377502
HillaryClinton,"""We may have a record-setting turnout in this election.

We could have the biggest turnout we've ever had."" https://t.co/tTgeqxNqYm",False,,2016-09-27 17:44:07,HillaryClinton,7.808243463108772e+17,False,556,1546,"""We may have a record-setting turnout in this election.

We could have the biggest turnout we've ever had."" ",5.3468904,0.83388674,7.344072850573066,8.22289851862149,Endorsement,positive,0.9336875081062317
HillaryClinton,"""You can go to https://t.co/tTgeqxNqYm to make sure you are registered. And I hope you all will.” —Hillary #NationalVoterRegistrationDay",False,,2016-09-27 17:40:05,HillaryClinton,7.80823097498796e+17,False,661,1326,"""You can go to  to make sure you are registered. And I hope you all will.” —Hillary #NationalVoterRegistrationDay",10.342115,-0.3404107,7.190676034332207,8.710982738710143,Appreciation,positive,0.5670113563537598
HillaryClinton,Join Hillary live in NC for her first rally since winning last night's debate → https://t.co/DzEpIDf7HY #NationalVoterRegistrationDay,False,,2016-09-27 17:35:08,,,False,1115,3941,Join Hillary live in NC for her first rally since winning last night's debate →  #NationalVoterRegistrationDay,7.7996855,1.5961424,8.279443487712665,10.369511298199757,Endorsement,neutral,0.7218393087387085
HillaryClinton,So. Everything you're feeling after #Debates2016? It's #NationalVoterRegistrationDay. PLEASE:… https://t.co/YnOtJL8bW7,True,shondarhimes,2016-09-27 17:20:13,,,False,1328,2435,So. Everything you're feeling after #Debates2016? It's #NationalVoterRegistrationDay. PLEASE:… ,11.211583,-0.33423567,7.798112628829788,10.991729320190025,Appreciation,neutral,0.8518838286399841
HillaryClinton,"“Donald just criticized me for preparing for this debate. And you know what else I prepared for?

I prepared to be… https://t.co/QjB01msPaT",False,,2016-09-27 17:07:22,,,False,6185,16805,"“Donald just criticized me for preparing for this debate. And you know what else I prepared for?

I prepared to be… ",6.3067684,-1.4253781,9.729491244488164,18.356078289907074,Security,negative,0.5923264026641846
realDonaldTrump,"Thank you for your endorsement, @GovernorSununu. #MAGA 
https://t.co/8BEeQPsuyd",False,,2016-09-27 16:58:58,,,False,4191,13152,"Thank you for your endorsement, @GovernorSununu. #MAGA 
",11.693559,0.031605747,9.48440514846878,16.122753728324128,Engagement,positive,0.9682682156562805
HillaryClinton,Hillary was the winner of the first presidential debate—and newspapers across America agree. #SheWon… https://t.co/oDiUHd0eXO,False,,2016-09-27 16:54:22,,,False,2593,6269,Hillary was the winner of the first presidential debate—and newspapers across America agree. #SheWon… ,6.3842096,-1.5330362,8.743531633626967,13.73833721783582,Security,positive,0.9362986087799072
HillaryClinton,Register and vote for Democrats like @HillaryClinton and @KatieMcGintyPA: https://t.co/tu6W6eS9xR #iRegistered… https://t.co/9ovdecqadN,True,JoeBiden,2016-09-27 16:29:30,,,False,1235,3206,Register and vote for Democrats like @HillaryClinton and @KatieMcGintyPA:  #iRegistered… ,4.299235,0.99149597,8.073091199693154,10.728911243277835,Endorsement,neutral,0.7401637434959412
HillaryClinton,I've been fortunate to meet young Americans from all over the country. We all make choices. This is mine...… https://t.co/bYoUE91TOO,True,AndrewJenks,2016-09-27 16:24:03,,,False,804,2086,I've been fortunate to meet young Americans from all over the country. We all make choices. This is mine...… ,6.046829,-1.3665998,7.643482907077201,9.2986239147912,Security,positive,0.9017418622970581
HillaryClinton,"""She gained a massive amount of weight...it was a real problem."" —Trump this morning on Alicia Machado https://t.co/LJPlFegSTs",False,,2016-09-27 16:12:28,,,False,4829,7580,"""She gained a massive amount of weight...it was a real problem."" —Trump this morning on Alicia Machado ",10.5116005,-0.3133207,8.933400396056303,16.90255671319681,Appreciation,negative,0.6855724453926086
HillaryClinton,"Today is #NationalVoterRegistrationDay - I was beaten, left bloody &amp; unconscious so that every person could register and vote. Do your part.",True,repjohnlewis,2016-09-27 16:03:49,,,False,20006,24333,"Today is #NationalVoterRegistrationDay - I was beaten, left bloody &amp; unconscious so that every person could register and vote. Do your part.",10.345165,-0.33776662,10.099629828347394,27.14689031216913,Appreciation,negative,0.5202887058258057
HillaryClinton,More than 70 million Americans aren't registered to vote. We have to do better! Get registered &amp; spread the word: https://t.co/IobF5PQ7jv,True,jasoncollins98,2016-09-27 16:01:04,,,False,1138,1554,More than 70 million Americans aren't registered to vote. We have to do better! Get registered &amp; spread the word: ,8.611379,1.3249685,7.349230824613334,10.440326663393815,Opposition,negative,0.5929009318351746
HillaryClinton,"When you have a really, really good night. #SheWon https://t.co/FVeGqhYxRZ",False,,2016-09-27 15:54:07,,,False,8242,35744,"When you have a really, really good night. #SheWon ",11.51445,-0.4693203,10.484165678200952,20.199666693843575,Engagement,positive,0.9790660738945007
realDonaldTrump,"Such a great honor. Final debate polls are in - and the MOVEMENT wins!
#AmericaFirst #MAGA #ImWithYou… https://t.co/DV1BKMwHEM",False,,2016-09-27 15:47:29,,,False,13576,27245,"Such a great honor. Final debate polls are in - and the MOVEMENT wins!
#AmericaFirst #MAGA #ImWithYou… ",10.406703,-0.33339983,10.212662000326006,23.85561459231194,Appreciation,positive,0.9851164221763611
HillaryClinton,"""Register. Vote. Go out and get engaged!” —@JoeBiden #NationalVoterRegistrationDay https://t.co/tTgeqxNqYm",False,,2016-09-27 15:42:48,,,False,1350,2874,"""Register. Vote. Go out and get engaged!” —@JoeBiden #NationalVoterRegistrationDay ",5.6460013,-2.892452,7.963807953231451,11.05209449592116,Endorsement,neutral,0.7139482498168945
HillaryClinton,"""I'm glad Trump found out that Crimea was part of Ukraine. By the way, I heard he was on the verge of acknowledging gravity."" —@JoeBiden",False,,2016-09-27 15:32:57,,,False,5557,16289,"""I'm glad Trump found out that Crimea was part of Ukraine. By the way, I heard he was on the verge of acknowledging gravity."" —@JoeBiden",4.7962117,0.3664681,9.69830670159609,17.71251097130022,Endorsement,positive,0.8681003451347351
HillaryClinton,"“Let me tell you who built this damn country: the middle class.” —@JoeBiden

Let's keep building it, together: https://t.co/tTgeqxNqYm",False,,2016-09-27 15:26:17,,,False,1453,4741,"“Let me tell you who built this damn country: the middle class.” —@JoeBiden

Let's keep building it, together: ",6.415045,1.471575,8.464214266625351,11.326312452766901,Endorsement,neutral,0.4710213243961334
HillaryClinton,One moment last night that proved—again—that Hillary's the only candidate ready to lead on the global stage: https://t.co/i4lrw7BpE9 #SheWon,False,,2016-09-27 15:12:56,,,False,1452,4840,One moment last night that proved—again—that Hillary's the only candidate ready to lead on the global stage:  #SheWon,5.9426374,4.632615,8.484876589939695,11.323713482401965,Opposition,positive,0.906229555606842
realDonaldTrump,'U.S. Murders Increased 10.8% in 2015' via @WSJ: https://t.co/CIJMQJhLqp,False,,2016-09-27 14:55:57,,,False,5365,10729,'U.S. Murders Increased 10.8% in 2015' via @WSJ: ,6.301247,-1.5089428,9.280798835624744,17.50612030826302,Security,negative,0.5481634140014648
HillaryClinton,"""Anyone who complains about microphone problems is not having a good night."" —Hillary #SheWon",False,,2016-09-27 14:53:01,,,False,4773,14979,"""Anyone who complains about microphone problems is not having a good night."" —Hillary #SheWon",11.789789,-0.11938759,9.61447125707121,16.836965091204483,Engagement,negative,0.5648494362831116
realDonaldTrump,"Thank you! #TrumpWon #MAGA 
https://t.co/a5rr1i38km",False,,2016-09-27 14:51:25,,,False,7255,17380,"Thank you! #TrumpWon #MAGA 
",4.1755295,-3.8038967,9.76313293456348,19.35883146420187,Endorsement,positive,0.9771305322647095
realDonaldTrump,Hillary's been failing for 30 years in not getting the job done - it will never change.,False,,2016-09-27 14:49:09,,,False,12127,31856,Hillary's been failing for 30 years in not getting the job done - it will never change.,6.0574822,-1.3917199,10.369012417071955,22.97476753960173,Security,negative,0.926720380783081
HillaryClinton,"Trump on Alicia, 1996: ""Miss Piggy.""

This morning: ""She gained a massive amount of weight...it was a real problem."" https://t.co/0wrISjJe6z",False,,2016-09-27 13:57:55,,,False,16476,22611,"Trump on Alicia, 1996: ""Miss Piggy.""

This morning: ""She gained a massive amount of weight...it was a real problem."" ",5.6786375,0.2902449,10.026236017795181,25.445867480922757,Endorsement,negative,0.5875459909439087
realDonaldTrump,'True blue-collar billionaire Donald Trump shows Hillary Clinton is out of touch' https://t.co/NHO1OicfVm,False,,2016-09-27 13:49:07,,,False,5827,14338,'True blue-collar billionaire Donald Trump shows Hillary Clinton is out of touch' ,8.682155,-0.82113457,9.57073837671504,17.994854496317892,Endorsement,negative,0.5623599290847778
realDonaldTrump,The #1 trend on Twitter right now is #TrumpWon - thank you!,False,,2016-09-27 13:17:40,,,False,19561,52449,The #1 trend on Twitter right now is #TrumpWon - thank you!,10.924026,-2.0277238,10.867615613824443,26.94410016761922,Appreciation,positive,0.9663165211677551
realDonaldTrump,I won every poll from last nights Presidential Debate - except for the little watched @CNN poll.,False,,2016-09-27 13:14:55,,,False,9598,29309,I won every poll from last nights Presidential Debate - except for the little watched @CNN poll.,5.3788896,0.96063113,10.285684033704937,21.251695366466862,Endorsement,positive,0.8372148275375366
realDonaldTrump,"'How Trump won over a bar full of undecideds and Democrats'
https://t.co/WWO39kxn8Y",False,,2016-09-27 12:55:31,,,False,6704,15988,"'How Trump won over a bar full of undecideds and Democrats'
",4.563642,-3.9116967,9.67965626478542,18.85578721287753,Endorsement,neutral,0.7184181213378906
realDonaldTrump,I really enjoyed the debate last night.Crooked Hillary says she is going to do so many things.Why hasn't she done them in her last 30 years?,False,,2016-09-27 12:53:42,,,False,21628,59791,I really enjoyed the debate last night.Crooked Hillary says she is going to do so many things.Why hasn't she done them in her last 30 years?,6.4717255,-1.353028,10.998627151725264,27.861561554478,Security,positive,0.7739223837852478
HillaryClinton,"""I have a winning temperament."" —Donald Trump last night 

Really? #SheWon https://t.co/nMTFoISagO",False,,2016-09-27 12:32:21,,,False,4120,10456,"""I have a winning temperament."" —Donald Trump last night 

Really? #SheWon ",6.434208,1.637592,9.25502688959859,16.031189162753115,Endorsement,positive,0.6760801672935486
HillaryClinton,Only one person on last night's stage is prepared to be Commander-in-Chief. Make sure she gets the chance:… https://t.co/o50AezGRrb,False,,2016-09-27 11:57:38,,,False,6253,17113,Only one person on last night's stage is prepared to be Commander-in-Chief. Make sure she gets the chance:… ,10.936072,-2.0264661,9.747652120978,18.42310424697052,Appreciation,neutral,0.7011331915855408
realDonaldTrump,Great debate poll numbers - I will be on @foxandfriends at 7:00 to discuss. Enjoy!,False,,2016-09-27 10:44:58,,,False,4437,16423,Great debate poll numbers - I will be on @foxandfriends at 7:00 to discuss. Enjoy!,11.104807,0.1734007,9.70649895869877,16.43222890932482,Opposition,positive,0.9832558631896973
realDonaldTrump,"Thank you! Four new #DebateNight polls with the MOVEMENT winning. Together, we will MAKE AMERICA SAFE &amp; GREAT AGAIN… https://t.co/39FCnUf8Pb",False,,2016-09-27 06:32:29,,,False,10829,24078,"Thank you! Four new #DebateNight polls with the MOVEMENT winning. Together, we will MAKE AMERICA SAFE &amp; GREAT AGAIN… ",11.494191,-0.5755335,10.089095370321234,22.12395592336541,Engagement,positive,0.9796931743621826
